codigo;dist_centro;nome;longitude;latitude;peso;dist_cap;id_centro;id_cidade
3533809;28,380202;�leo;49,341944;-22,941389;2100;285;5246;5193
3533908;77,412901;Ol�mpia;48,914722;-20,737222;2004;390;5406;5194
3534005;36,958468;Onda Verde;49,295278;-20,6;1527;426;5406;5195
3534104;26,906711;Oriente;50,090833;-22,152778;250;387;5200;5196
3534203;17,165802;Orindi�va;49,351389;-20,182222;1359;467;5224;5197
3534302;36,671816;Orl�ndia;47,886667;-20,720278;600;339;4878;5198
3534401;59,787631;Osasco;46,791667;-23,5325;0;16;5084;5199
3534500;0;Oscar Bressane;50,281389;-22,318333;5501;398;5200;5200
3534609;49,16116;Osvaldo Cruz;50,878611;-21,796667;750;477;5140;5201
3534708;29,0749;Ourinhos;49,870556;-22,978889;1120;337;5376;5202
3534757;34,143781;Ouroeste;50,372222;-20,000556;3940;551;4989;5203
3534807;18,043539;Ouro Verde;51,700278;-21,489444;1950;569;5429;5204
3534906;37,88639;Pacaembu;51,260556;-21,562222;2020;524;5429;5205
3535002;34,614647;Palestina;49,433056;-20,39;11030;454;5406;5206
3535101;61,062991;Palmares Paulista;48,800833;-21,083056;115;352;5190;5207
3535200;0;Palmeira d'Oeste;50,761944;-20,416389;10564;549;5208;5208
3535309;52,747972;Palmital;50,2175;-22,788889;950;376;5200;5209
3535408;30,07783;Panorama;51,859722;-21,356389;1600;590;5429;5210
3535507;32,056364;Paragua�u Paulista;50,575833;-22,412778;5271;423;5200;5211
3535606;41,477303;Paraibuna;45,662222;-23,386111;440;101;5416;5212
3535705;68,361559;Para�so;48,773611;-21,016389;258;356;5190;5213
3535804;71,953874;Paranapanema;48,722778;-23,388611;4370;214;5067;5214
3535903;39,371555;Paranapu�;50,585833;-20,103333;3749;559;5208;5215
3536000;58,831545;Parapu�;50,771667;-21,768056;440;469;5140;5216
3536109;37,872507;Pardinho;48,373611;-23,081111;1640;185;4949;5217
3536208;12,491168;Pariquera-A�u;47,881111;-24,715;200;181;5091;5218
3536257;24,267298;Parisi;50,014722;-20,303611;2690;501;4989;5219
3536307;0;Patroc�nio Paulista;47,281667;-20,639444;5719;329;5220;5220
3536406;27,84028;Paulic�ia;51,830556;-21,317778;1950;589;5429;5221
3536505;18,699099;Paul�nia;47,154167;-22,761111;97;102;4920;5222
3536570;39,341137;Paulist�nia;49,402778;-22,578333;815;303;5376;5223
3536604;0;Paulo de Faria;49,383333;-20,030833;4500;482;5224;5224
3536703;56,228664;Pederneiras;48,775;-22,351667;1050;256;4887;5225
3536802;20,372126;Pedra Bela;46,443056;-22,793056;1680;86;4898;5226
3536901;14,767438;Pedran�polis;50,110278;-20,2475;6173;512;4989;5227
3537008;25,263255;Pedregulho;47,476667;-20,256944;2609;375;4905;5228
3537107;43,623187;Pedreira;46,901389;-22,741944;930;93;4898;5229
3537156;76,305611;Pedrinhas Paulista;50,793889;-22,815;300;433;5200;5230
3537206;23,021727;Pedro de Toledo;47,232778;-24,274722;157;101;5148;5231
3537305;26,173855;Pen�polis;50,0775;-21,419722;5190;425;5278;5232
3537404;0;Pereira Barreto;51,109167;-20,638333;5750;563;5233;5233
3537503;7,6427659;Pereiras;47,975833;-23,076111;2000;147;4949;5234
3537602;46,968377;Peru�be;46,998333;-24,32;45;93;5148;5235
3537701;76,909797;Piacatu;50,599167;-21,592222;600;462;5278;5236
3537800;65,094827;Piedade;47,427778;-23,711944;2543;83;5067;5237
3537909;42,213504;Pilar do Sul;47,716389;-23,813056;5080;114;5067;5238
3538006;14,895253;Pindamonhangaba;45,461667;-22,923889;4987;139;5416;5239
3538105;45,179231;Pindorama;48,907222;-21,185833;434;351;5190;5240
3538204;19,822785;Pinhalzinho;46,590556;-22,779444;1800;85;4898;5241
3538303;12,639417;Piquerobi;51,728611;-21,8675;2215;555;5345;5242
3538501;55,849978;Piquete;45,176111;-22,613611;1940;182;4962;5243
3538600;21,977802;Piracaia;46,358056;-23,053889;4000;62;4898;5244
3538709;0;Piracicaba;47,649167;-22,725278;5575;138;5245;5245
3538808;0;Piraju;49,383889;-23,193611;4780;284;5246;5246
3538907;31,237736;Piraju�;49,457222;-21,998611;1850;337;5002;5247
3539004;24,354598;Pirangi;48,657778;-21,091389;350;343;4880;5248
3539103;33,732194;Pirapora do Bom Jesus;47,002222;-23,396944;0;41;5084;5249
3539202;36,826469;Pirapozinho;51,5;-22,275278;4700;519;5140;5250
3539301;22,453544;Pirassununga;47,425833;-21,996111;2700;190;4963;5251
3539400;79,379653;Piratininga;49,134722;-22,412778;580;285;5036;5252
3539509;27,562261;Pitangueiras;48,221667;-21,009444;800;325;4880;5253
3539608;62,089857;Planalto;49,929167;-21,034444;1100;439;5005;5254
3539707;36,412464;Platina;50,203889;-22,637778;430;379;5200;5255
